Title,Link,Views,Duration 
What is OLTP & OLAP? | OLAP VS OLTP | Online Transaction Process vs Online Analytical Processing,https://www.youtube.com/watch?v=dTVCR1EaYAM,46,12:32
"Leadership Insights: People Development MESA Approach, Smollan India | Episode 04 | The CXO Show",https://www.youtube.com/watch?v=C6eddI09JEA,166,57:35:00
AI will land Chandrayaan 3 | upGrad,https://www.youtube.com/watch?v=GQK3XROI_F0,535,1:28
"The CXO Show | Ep. 13 | Kejal Thakkar, Chief Manager Human Resources, Piramal Group",https://www.youtube.com/watch?v=JXwpRMppU1Y,177,38:04:00
"The CXO Show | Ep. 10 | Dinesh Bojwani, Head Human Resources, Star Union Dai-ichi Life Insurance",https://www.youtube.com/watch?v=k1rmrci6NvE,279,18:05
"The CXO Show | Episode 02 | Suchita Dantre, Country HR Head - India, Midland Credit Management",https://www.youtube.com/watch?v=6vOO_GiFqFA,282,51:18:00
What is Tableau? (Learn in 1 Hour) ⏰ | Tableau Tutorial For Beginners in 2024 | upGrad,https://www.youtube.com/watch?v=cGBiZCz0Oic,593,62:01:00
"What is the Future of India's Workforce? EP 01 | ft. CHRO & Career Coach | upGrad, Aage Ki Socho",https://www.youtube.com/watch?v=N0j9BIOAeJM,"2,147",85:11:00
"How to Create Charts in Tableau? [Dynamic Histogram, Donut Chart & Tree Map] With Examples | upGrad",https://www.youtube.com/watch?v=x5EtQHJFtTo,118,23:54:00
Relational Data Model in DBMS | Relational Model Tutorial | Relational Database Model,https://www.youtube.com/watch?v=1cJIdFrb8yU,44,16:29:00
What is Python? | Basics of Python Programming | Python Tutorial for Beginners | upGrad,https://www.youtube.com/watch?v=csbV0rv38nA,296,13:47
Transactional and Transformational Leadership | Transactional Vs Transformational Leadership,https://www.youtube.com/watch?v=HnqUotHuuAs,37,0:16
"The CXO Show | Episode 6 | Nikhil Bhende, Head HR & People Strategy, ICICI Prudential AMC",https://www.youtube.com/watch?v=m7aPTfpRW8Y,165,63:48:00
"What does the future of education look like? EP 02 | Experts Talk | upGrad, Aage Ki Socho",https://www.youtube.com/watch?v=SA6nTGKb9YQ,794,56:26:00
Types of Digital Marketing | Social Media Marketing Pt 1 with Examples | upGrad,https://www.youtube.com/watch?v=naoFTpjGp9o,488,13:27:00
How to Create Map Chart in Tableau? With Problem Statement 🗺️ | Tableau Map Chart Tutorial | upGrad,https://www.youtube.com/watch?v=4VsVuxQQzu0,108,25:02:00
Normalization 1NF 2NF 3NF with Example | 1NF 2NF 3NF Normalization | Learn Database Normalization,https://www.youtube.com/watch?v=Ej0PSWBPiek,89,5:57
What is Brand Planning and Strategy for 2024 | Brand Marketing Fundamentals | upGrad,https://www.youtube.com/watch?v=BNWVcXj35_8,262,66:32:00
Live Class Case Study: ‘Mintree Body Care’ Trailer | Shark Tank India S3 | upGrad,https://www.youtube.com/watch?v=unVGxG5f6bc,292,1:38:00
MySql Database Tutorial | Introduction to Databases | How Databases are Useful to Data Scientists,https://www.youtube.com/watch?v=RBAAh7Ldafw,108,7:36:00
How to Create a Social Media Calendar in 2024? | Social Media Marketing Pt 4 | DM Tutorial | upGrad,https://www.youtube.com/watch?v=iV_2GQNV1WU,303,7:37
Live Class Case Study: Adil Qadri Perfumes Trailer | Shark Tank India S3 | upGrad,https://www.youtube.com/watch?v=rlf94QeAg5I,339,3:38
"How to Resign The Right Way? | ft. Jasmeen Kaur, Head of Talent Acquisition | upGrad",https://www.youtube.com/watch?v=yujYH95PjBs,"4,289",13:39
How to Create a Facebook Page | How to Create a Facebook Business Page | How to Create FB Page,https://www.youtube.com/watch?v=tE_xyRa3b_4,320,15:11
Anupam Mittal Mentors upGrad Learner - Sonali Kalange | Shark Tank India S03 | Aage Ki Socho,https://www.youtube.com/watch?v=Zb3KqJFGwpg,260,2:20
How to Negotiate Salary After Job Offer | HR vs Career Coach | upGrad,https://www.youtube.com/watch?v=JFdv8Z8iuok,"59,645",7:25
"Crack that Job Interview | One on One with Rucchi Hirrani, Senior Career Coach, upGrad",https://www.youtube.com/watch?v=A3uiV0XQ9GQ,"1,859",21:23
Skip Excuses And Fast Forward Your Career Like Shally | upGrad,https://www.youtube.com/watch?v=N0VXVIjHaUI,"3,568",0:20
Skip Excuses And Fast Forward Your Career Like Subhasis | upGrad,https://www.youtube.com/watch?v=skPF2xP3PIU,"315,844",0:20
From Financial Stress to Financial Freedom: Expert Insights with Neha Singh | upGrad,https://www.youtube.com/watch?v=NW0y8r58cMo,334,7:58
Skip Excuses And Fast Forward Your Career Like Gaurav | upGrad,https://www.youtube.com/watch?v=0j78_6JtARU,"650,426",0:20
"The Science of Successful Teams: Insights from Confidence and Growth Coach, Depikka Singh | upGrad",https://www.youtube.com/watch?v=mc3EerTiaSY,395,7:08
Craft Instructor Development Program | UGF & UGDX,https://www.youtube.com/watch?v=3PYacpnImCY,222,5:38
"From Stress to Success: How to Manage Pressure? | ft. Deepak Chhabra, Corporate Trainer | upGrad",https://www.youtube.com/watch?v=On1UhZUuUxk,344,5:49
"Get Your Resume Noticed | One on One with Jasmeen Kaur, Head of Talent Acquisition, upGrad",https://www.youtube.com/watch?v=bhYrqODzJig,"5,256",16:59
#upGradRealStories - ft. Meenu Gupta | Machine Learning & AI from IIITB,https://www.youtube.com/watch?v=AivdA0Nq2Ss,"10,185,170",0:55
Crack Interviews using a GPT-powered chatbot | upGrad ChatGPT Interview Assistant,https://www.youtube.com/watch?v=0_4NmEkzz8w,899,4:45
#upGradRealStories ft. Siva Sandilya  | IIITB Executive Post Graduate Programme in Data Science,https://www.youtube.com/watch?v=tv016DXZ3oA,"11,791",1:01
How to Fast Track your Job Search? | Sarabjit Sachar | upGrad,https://www.youtube.com/watch?v=Bwv5I1pE8aU,341,14:13
